interval60,Temperature,Precipitation,Wind_Speed
2025-07-01T00:00:00Z,80,1e-4,3
2025-07-01T01:00:00Z,80,1e-4,0
2025-07-01T02:00:00Z,77,0.03,9
2025-07-01T03:00:00Z,76,0.01,5
2025-07-01T04:00:00Z,77,1e-4,0
2025-07-01T05:00:00Z,77,0.01,0
2025-07-01T06:00:00Z,75,0.05,10
2025-07-01T07:00:00Z,74,0.02,4
2025-07-01T08:00:00Z,74,1e-4,3
2025-07-01T09:00:00Z,75,0,0
2025-07-01T10:00:00Z,76,0,3
2025-07-01T11:00:00Z,78,0,6
2025-07-01T12:00:00Z,81,0,10
2025-07-01T13:00:00Z,85,0,11
2025-07-01T14:00:00Z,87,0,10
2025-07-01T15:00:00Z,88,0,9
2025-07-01T16:00:00Z,90,0,9
2025-07-01T17:00:00Z,92,0,12
2025-07-01T18:00:00Z,92,0,10
2025-07-01T19:00:00Z,92,0,11
2025-07-01T20:00:00Z,81,0.04,15
2025-07-01T21:00:00Z,79,1e-4,7
2025-07-01T22:00:00Z,80,1e-4,15
2025-07-01T23:00:00Z,77,0.03,3
2025-07-02T00:00:00Z,77,1e-4,7
2025-07-02T01:00:00Z,76,1e-4,7
2025-07-02T02:00:00Z,76,1e-4,7
2025-07-02T03:00:00Z,76,1e-4,7
2025-07-02T04:00:00Z,75,0.01,5
2025-07-02T05:00:00Z,75,1e-4,6
2025-07-02T06:00:00Z,75,0.01,6
2025-07-02T07:00:00Z,73.4,1e-4,0
2025-07-02T08:00:00Z,73,1e-4,4
2025-07-02T09:00:00Z,73,1e-4,4
2025-07-02T10:00:00Z,73,1e-4,0
2025-07-02T11:00:00Z,74,0,3
2025-07-02T12:00:00Z,74,1e-4,6
2025-07-02T13:00:00Z,75,1e-4,3
2025-07-02T14:00:00Z,73,0.02,0
2025-07-02T15:00:00Z,76,0,6
2025-07-02T16:00:00Z,78,0,6
2025-07-02T17:00:00Z,80,0,6
2025-07-02T18:00:00Z,82,0,7
2025-07-02T19:00:00Z,85,0,6
2025-07-02T20:00:00Z,86,0,8
2025-07-02T21:00:00Z,87,0,7
2025-07-02T22:00:00Z,86,0,9
2025-07-02T23:00:00Z,85,0,11
2025-07-03T00:00:00Z,82,0,6
2025-07-03T01:00:00Z,80,0,5
2025-07-03T02:00:00Z,78,0,6
2025-07-03T03:00:00Z,77,0,4
2025-07-03T04:00:00Z,76,0,3
2025-07-03T05:00:00Z,75,0,6
2025-07-03T06:00:00Z,76,0,0
2025-07-03T07:00:00Z,75,0,0
2025-07-03T08:00:00Z,75,0,3
2025-07-03T09:00:00Z,73,0,0
2025-07-03T10:00:00Z,76,0,5
2025-07-03T11:00:00Z,76,0,5
2025-07-03T12:00:00Z,80,0,4
2025-07-03T13:00:00Z,82,0,6
2025-07-03T14:00:00Z,86,0,7
2025-07-03T15:00:00Z,89,0,11
2025-07-03T16:00:00Z,90,0,11
2025-07-03T17:00:00Z,90,0,11
2025-07-03T18:00:00Z,91,0,9
2025-07-03T19:00:00Z,91,0,10
2025-07-03T20:00:00Z,91,0,14
2025-07-03T21:00:00Z,91,0,16
2025-07-03T22:00:00Z,89,0,15
2025-07-03T23:00:00Z,89,0,12
2025-07-04T00:00:00Z,88,1e-4,13
2025-07-04T01:00:00Z,73,0,9
2025-07-04T02:00:00Z,72,0,0
2025-07-04T03:00:00Z,72,0,4
2025-07-04T04:00:00Z,72,0,0
2025-07-04T05:00:00Z,71,0,6
2025-07-04T06:00:00Z,70,0,4
2025-07-04T07:00:00Z,69,0,5
2025-07-04T08:00:00Z,70,0,5
2025-07-04T09:00:00Z,68,0,3
2025-07-04T10:00:00Z,70,0,4
2025-07-04T11:00:00Z,73,0,6
2025-07-04T12:00:00Z,75,0,9
2025-07-04T13:00:00Z,77,0,8
2025-07-04T14:00:00Z,80,0,9
2025-07-04T15:00:00Z,80,0,11
2025-07-04T16:00:00Z,81,0,4
2025-07-04T17:00:00Z,83,0,4
2025-07-04T18:00:00Z,84,0,4
2025-07-04T19:00:00Z,84,0,8
2025-07-04T20:00:00Z,85,0,6
2025-07-04T21:00:00Z,84,0,6
2025-07-04T22:00:00Z,84,0,4
2025-07-04T23:00:00Z,83,0,8
2025-07-05T00:00:00Z,82,0,6
2025-07-05T01:00:00Z,81,0,3
2025-07-05T02:00:00Z,78,0,3
2025-07-05T03:00:00Z,75,0,4
2025-07-05T04:00:00Z,74,0,3
2025-07-05T05:00:00Z,74,0,3
2025-07-05T06:00:00Z,71,0,0
2025-07-05T07:00:00Z,68,0,0
2025-07-05T08:00:00Z,67,0,0
2025-07-05T09:00:00Z,69,0,0
2025-07-05T10:00:00Z,70,0,3
2025-07-05T11:00:00Z,72,0,0
2025-07-05T12:00:00Z,77,0,0
2025-07-05T13:00:00Z,78,0,0
2025-07-05T14:00:00Z,81,0,3
2025-07-05T15:00:00Z,84,0,6
2025-07-05T16:00:00Z,85,0,5
2025-07-05T17:00:00Z,87,0,5
2025-07-05T18:00:00Z,87,0,9
2025-07-05T19:00:00Z,86,0,8
2025-07-05T20:00:00Z,88,0,7
